Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community
Giovanni Bonetta,0.00143184421534937,5.9991716002607026e-05,0.05661867648930515,0.00017955461935038728,0.042207186465605576,5
Markus Gross,0.000859106529209622,1.6406121058142305e-07,0.02816895375291013,8.980036061856879e-13,0.04024593888759102,0
M Biehl,0.006872852233676976,5.180332957224321e-05,0.04516505475945614,8.490086769591825e-05,0.011876680613837055,22
Gemma Roig,0.0020045819014891182,0.0003592940511733165,0.03969599039002721,1.0441301500545868e-06,0.025678176894831106,6
Christopher Tunnell,0.000572737686139748,0.0,0.03674510075445891,1.7213643022891343e-08,0.037037037037037035,23
Thorben Markmann,0.000572737686139748,0.0,0.061306847154024686,0.00013457255225797775,0.037037037037037035,9
Anton Akusok,0.0020045819014891182,5.468707019380769e-07,0.05087451183593415,6.185656332882487e-05,0.03602993405120243,4
Àngela Nebot,0.000572737686139748,0.0,0.05463675498494915,0.0004674643973016459,0.037037037037037035,10
Aleix García,0.000859106529209622,0.00013907770341381448,0.04895539702098722,3.20282313201856e-05,0.04938271604938271,7
Pedro Gutiérrez,0.000859106529209622,0.0,0.048489546615525826,0.00011102874434491495,0.037037037037037035,18
Emmanuel Jean,0.00143184421534937,3.2812242116284614e-08,0.0520279729901723,0.00021436849448321622,0.03799970759220323,12
Robin Ghyselinck,0.00143184421534937,8.196212514383477e-05,0.0540065929106215,3.7404426722475284e-05,0.035116232900487314,13
Helsinki Finland,0.001718213058419244,9.005019160770554e-05,0.05502720344839567,3.0299792731586503e-05,0.04271507469006017,4
Emil Eirola,0.002577319587628866,0.000148182990548634,0.05723592667898043,0.00028767437260572353,0.03134635473931201,4
Laurine Duchesne,0.000572737686139748,0.0,0.04584629533137702,7.10562483901749e-08,0.037037037037037035,13
Gjalt Bearda,0.000859106529209622,2.4401374216360186e-05,0.05164798034201037,1.7491792681975596e-05,0.04024593888759102,9
Dennis Kügler,0.001145475372279496,1.6734243479305132e-06,0.04884498169080174,0.00011347861710248882,0.03864148796231403,18
Guilherme Barreto,0.003436426116838488,0.0024208215988552858,0.03610568928983511,5.6977450644086895e-09,0.011575244248904428,24
Brayan James,0.0020045819014891182,5.843507085081183e-05,0.043861556976525,1.749681376024341e-07,0.03749545158711618,15
Dietlind Zühlke,0.002290950744558992,0.0008808285538471974,0.05526416269769498,7.846149598673509e-05,0.02354668225829028,9
Riccardo Massidda,0.000572737686139748,0.0,0.0617328166959821,0.0030464916018564363,0.037037037037037035,14
Nermeen Abou Baker,0.000572737686139748,0.0,0.039170958638316475,3.3725475757327815e-06,0.046663742588699,1
Matthias Rauterberg,0.00143184421534937,0.0,0.049885732812344874,0.05822227845506767,0.09523149401697797,5
Bernardo Ramos,0.000859106529209622,0.0,0.04993605708524968,6.62991810300415e-05,0.037037037037037035,15
Inge Tuitert,0.001718213058419244,0.0,0.0506588158062204,1.695936781922409e-05,0.03703703703703704,9
Julie Fontecave-Jallon,0.000572737686139748,0.0,0.043906018767682145,1.1023798331020681e-07,0.037037037037037035,4
Antonio Rizzo,0.000859106529209622,0.0,0.03966418270541982,1.0193810239944938e-06,0.037037037037037035,6
Kai Polsterer,0.003150057273768614,0.008722314260561357,0.04919169507588693,0.00011610465960208986,0.009454332794329624,18
Behzad Bordbar,0.000572737686139748,0.0,0.04848276201406849,0.00010877900434761406,0.037037037037037035,18
Davide Morelli,0.000859106529209622,0.0,0.06174381684150883,0.003109500057896943,0.037037037037037035,14
Huanhuan Chen,0.000859106529209622,0.0,0.048489546615525826,0.00011102874434491495,0.037037037037037035,18
Nadine Gaisa,0.000859106529209622,0.0,0.057028686654797156,0.00018141059342357093,0.037037037037037035,23
Ilenia Orlandi,0.000572737686139748,3.0426991766845615e-06,0.05920148643679267,0.021304343656060994,0.1111111111111111,5
Jan Göpfert,0.000572737686139748,0.0047056856725016675,0.062478597207816,0.0001420720470350618,0.05879263155437775,23
Juan Carrasco,0.002577319587628866,5.9532344612980755e-05,0.048428553475128935,0.00015002698636264113,0.057689614623254996,16
Domenico Tortorella,0.001145475372279496,2.4609181587213463e-07,0.0463429584210977,0.02013353007748799,0.035424651532822024,14
Alex Gómez Villa,0.001145475372279496,5.924432604329168e-08,0.05679500083831299,0.0006747440178490806,0.03864148796231403,14
Ata Kabán,0.000572737686139748,0.00018030327042898396,0.05393094165206966,2.2218541646647083e-05,0.0,13
August Sørensen,0.001145475372279496,0.0,0.033835201651649986,1.0528813790453802e-09,0.037037037037037035,18
Bernardo Pilarz,0.000859106529209622,6.021935259050751e-05,0.059221722802007784,0.026798820851684176,0.09109154050124936,5
Marc Schoenauer,0.001145475372279496,0.0,0.04047970795730695,2.587872825463828e-06,0.037037037037037035,17
Matthieu Cord,0.000859106529209622,0.0,0.035401134053386546,2.4658197559950143e-08,0.037037037037037035,11
Axel Mosig,0.001145475372279496,0.0,0.03410830791559676,1.0111506133577122e-09,0.037037037037037035,0
Christian Igel,0.002290950744558992,0.007167834290302375,0.04301220209962109,2.4061857624801747e-06,0.007936507936507936,18
